tag,prev_tag_sheet,sp_code,height1,height2,height_method,dbh1,dbh2,dbh_hom,dbh_method,cii,canopy_pos,survival_status,deathdam_status,deathdam_mode,living_length,pct_crown,pct_leaves,degrees_leaning,leaf_damage,wounded_trunk,comment,row_date,crossed_out,unclear_field,unclear_flags
8462,NA,ABLA,,,,NA,,,,,,D,S,,,,,,,,,,Y,,
8463,NA,PIEN,8.9,9.2,H,12.4,-,-0.1,T,2,I,A,S,-,-,100,80,0,Y,-,measured at nail,,,,
8464,NA,PIEN,9.6,9.6,H,10.5,-,0,T,3,I,A,S,BW,-,60,90,0,Y,-,,,,,
8465,NA,PIEN,8.3,8.4,H,9.7,-,0,T,2,I,A,S,BW,-,90,90,0,Y,-,"dead top, highest point alive",,,,
8466,NA,PIEN,8.6,8.7,H,12.2,-,0,T,2,I,A,S,-,-,100,70,0,N,-,,2026-08-08,,,
8467,NA,PIEN,9.1,9.3,H,10.6,-,0,T,2,I,A,S,sappy,-,100,80,0,N,-,,2026-08-08,,,
8468,NA,PIEN,9.3,9.4,H,9.5,-,0,T,2,I,A,S,BW,-,90,90,0,Y,-,,2026-08-08,,,
8469,NA,PIEN,8.5,8.6,H,10.1,-,0,T,2,I,D,S,-,0,0,0,0,-,-,,2026-08-08,,deathdam_mode,"DeathDam_Mode has a faint mark (looks like 'B') - entered as a dash, confirm"
8470,NA,PIEN,5.8,5.9,H,8.0,-,0,T,2,S,A,S/L,BW,6.0,60,80,0,Y,-,dead crown,2026-08-08,,,
8471,NA,PIEN,11.6,11.8,H,20.5,-,0,T,3,C,A,S,BW,-,90,60,0,Y,-,,2026-08-08,,,
8472,NA,PICO,3.1,-,T,4.0,4.0,0,C,3,I,A,L,40% brown,-,90,90,20,Y,-,,2026-08-08,,leaf_damage,"Leaf_Damage letter is overwritten (N over Y) - entered Y, confirm"
8473,NA,ABLA,3.5,-,T,6.5,-,0,T,3,S,A,S,BW,-,100,90,0,Y,-,,2026-08-08,,,
8474,NA,PIEN,8.0,7.9,H,10.3,-,0,T,3,I,A,S,10% yellow,5.9,70,90,0,Y,-,checked height,2026-08-08,,,
8475,NA,PIEN,6.9,7.1,H,11.2,-,0,T,3,I,A,S,BW sappy,-,100,90,0,Y,-,chared,2026-08-08,,,
8476,NA,PIEN,,,,NA,,,,,,D,S,,,,,,,,,2026-08-08,Y,,
8477,NA,PICO,1.9,-,T,1.8,1.8,-,C,1,S,A,S,10% red,-,100,90,0,Y,2,,2026-08-08,,height1,"Height_1 reads 7.9 / 1.9 - entered 1.9 (DBH is 1.8); also DBH_HOM is a dash on this whole sheet, entered as written, confirm"
8478,NA,ABLA,4.5,-,T,6.8,-,-,T,2,S,A,S,BW 20% red,-,100,80,0,Y,-,,2026-08-08,,,
